clip_id,emotion
clip_000285,neutral
clip_000288,neutral
clip_000289,fear
clip_000291,fear
clip_000292,sad
clip_000293,happy
clip_000295,happy
clip_000296,anger
clip_000297,anger
clip_000299,fear
clip_000301,sad
clip_000302,sad
clip_000304,happy
clip_000305,disgust
clip_000306,sad
clip_000307,sad
clip_000308,sad
clip_000309,happy
clip_000310,sad
clip_000311,happy
clip_000314,happy
clip_000315,anger
clip_000316,happy
clip_000317,disgust
clip_000318,happy
clip_000320,sad
clip_000321,sad
clip_000322,fear
clip_000323,disgust
clip_000324,sad
clip_000325,disgust
clip_000326,happy
clip_000327,sad
clip_000328,happy
clip_000329,sad
clip_000330,disgust
clip_000331,fear
clip_000332,disgust
clip_000333,anger
clip_000334,happy
clip_000335,fear
clip_000338,fear
clip_000339,anger
clip_000340,disgust
clip_000341,sad
clip_000343,sad
clip_000344,sad
clip_000345,disgust
clip_000346,disgust
clip_000347,happy
clip_000348,anger
clip_000349,disgust
clip_000350,sad
clip_000352,fear
clip_000354,happy
clip_000355,disgust
clip_000356,sad
clip_000357,sad
clip_000358,anger
clip_000359,sad
clip_000360,fear
clip_000362,happy
clip_000363,neutral
clip_000364,sad
clip_000365,disgust
clip_000366,sad
clip_000367,sad
clip_000368,fear
clip_000369,disgust
clip_000372,happy
clip_000373,neutral
clip_000374,disgust
clip_000376,neutral
clip_000379,sad
clip_000380,disgust
clip_000381,neutral
clip_000383,anger
clip_000384,sad
clip_000385,sad
clip_000386,disgust
clip_000387,neutral
clip_000388,disgust
clip_000389,anger
clip_000390,happy
clip_000391,anger
clip_000393,anger
clip_000395,neutral
clip_000396,anger
clip_000397,fear
clip_000398,anger
clip_000399,disgust
clip_000400,fear
clip_000401,happy
clip_000402,anger
clip_000403,happy
clip_000404,anger
clip_000405,neutral
clip_000406,disgust
clip_000408,anger
clip_000409,happy
clip_000410,happy
clip_000412,disgust
clip_000414,anger
clip_000415,anger
clip_000416,happy
clip_000417,anger
clip_000419,neutral
clip_000420,happy
clip_000422,sad
clip_000423,happy
clip_000424,disgust
clip_000425,sad
clip_000427,sad
clip_000429,happy
clip_000430,disgust
clip_000431,happy
clip_000432,neutral
clip_000433,anger
clip_000434,fear
clip_000435,fear
clip_000436,sad
clip_000439,neutral
clip_000440,anger
clip_000442,anger
clip_000443,anger
clip_000444,anger
clip_000445,sad
clip_000446,neutral
clip_000447,happy
clip_000449,sad
clip_000450,fear
clip_000451,anger
clip_000452,anger
clip_000454,neutral
clip_000455,neutral
clip_000457,fear
clip_000458,anger
clip_000459,anger
clip_000461,happy
clip_000462,sad
clip_000463,disgust
clip_000464,anger
clip_000465,disgust
clip_000466,sad
clip_000468,neutral
clip_000469,disgust
clip_000471,happy
clip_000473,happy
clip_000475,sad
clip_000476,neutral
clip_000477,anger
clip_000478,disgust
clip_000481,sad
clip_000482,sad
clip_000483,disgust
clip_000484,neutral
clip_000485,sad
clip_000486,fear
clip_000487,happy
clip_000488,happy
clip_000489,neutral
clip_000490,anger
clip_000492,fear
clip_000493,fear
clip_000494,neutral
clip_000495,disgust
clip_000497,sad
clip_000498,fear
clip_000499,disgust
clip_000502,neutral
clip_000504,anger
clip_000505,fear
clip_000506,anger
clip_000507,sad
clip_000508,fear
clip_000510,fear
clip_000512,happy
clip_000513,sad
clip_000515,disgust
clip_000517,neutral
clip_000518,happy
clip_000523,neutral
clip_000524,fear
clip_000526,disgust
clip_000530,happy
clip_000532,sad
clip_000533,happy
clip_000534,sad
clip_000535,fear
clip_000536,fear
clip_000537,sad
clip_000538,neutral
clip_000539,fear
clip_000540,fear
clip_000541,happy
clip_000542,sad
clip_000544,neutral
clip_000545,disgust
clip_000546,anger
clip_000547,anger
clip_000548,fear
clip_000549,disgust
clip_000550,sad
clip_000551,fear
clip_000552,neutral
clip_000554,disgust
clip_000555,sad
clip_000556,sad
clip_000557,happy
clip_000561,sad
clip_000562,disgust
clip_000564,anger
clip_000565,fear
clip_000566,sad
clip_000567,disgust
clip_000568,anger
clip_000569,anger
clip_000571,neutral
clip_000572,fear
clip_000574,anger
clip_000575,disgust
clip_000577,happy
clip_000578,disgust
clip_000579,disgust
clip_000580,sad
clip_000581,neutral
clip_000582,disgust
clip_000585,fear
clip_000587,anger
clip_000588,fear
clip_000589,disgust
clip_000590,anger
clip_000591,anger
clip_000592,disgust
clip_000593,sad
clip_000595,sad
clip_000596,sad
clip_000597,neutral
clip_000599,happy
clip_000600,fear
clip_000601,happy
clip_000602,disgust
clip_000604,happy
clip_000605,disgust
clip_000606,disgust
clip_000607,fear
clip_000608,sad
clip_000609,fear
clip_000610,disgust
clip_000611,happy
clip_000612,disgust
clip_000613,anger
clip_000614,fear
clip_000615,happy
clip_000616,neutral
clip_000617,disgust
clip_000618,anger
clip_000619,neutral
clip_000620,happy
clip_000621,anger
clip_000622,fear
clip_000623,sad
clip_000624,fear
clip_000625,happy
clip_000626,neutral
clip_000630,sad
clip_000631,sad
clip_000632,sad
clip_000633,happy
clip_000635,happy
clip_000636,fear
clip_000637,sad
clip_000638,sad
clip_000639,anger
clip_000640,anger
clip_000641,sad
clip_000642,anger
clip_000643,fear
clip_000645,happy
clip_000647,disgust
clip_000648,anger
clip_000649,sad
clip_000650,happy
clip_000653,sad
clip_000654,anger
clip_000655,sad
clip_000656,neutral
clip_000657,sad
clip_000659,happy
clip_000661,anger
clip_000662,disgust
clip_000663,fear
clip_000665,anger
clip_000667,sad
clip_000668,happy
clip_000669,disgust
clip_000670,disgust
clip_000672,anger
clip_000674,sad
clip_000675,anger
clip_000676,anger
clip_000677,neutral
clip_000679,fear
clip_000681,sad
clip_000683,disgust
clip_000686,neutral
clip_000687,sad
clip_000689,anger
clip_000690,fear
clip_000692,neutral
clip_000694,happy
clip_000695,neutral
clip_000697,fear
clip_000698,fear
clip_000699,neutral
clip_000700,disgust
clip_000701,neutral
clip_000702,neutral
clip_000704,anger
clip_000705,fear
clip_000707,disgust
clip_000708,sad
clip_000709,neutral
clip_000711,happy
clip_000712,fear
clip_000713,happy
clip_000714,sad
clip_000715,happy
clip_000716,anger
clip_000717,happy
clip_000718,neutral
clip_000723,neutral
clip_000724,neutral
clip_000726,happy
clip_000727,sad
clip_000729,neutral
clip_000730,happy
clip_000731,sad
clip_000733,fear
clip_000734,disgust
clip_000735,neutral
clip_000736,disgust
clip_000737,anger
clip_000738,neutral
clip_000739,disgust
clip_000740,sad
clip_000741,disgust
clip_000742,happy
clip_000743,neutral
clip_000744,disgust
clip_000745,fear
clip_000746,happy
clip_000747,fear
clip_000748,happy
clip_000751,happy
clip_000752,disgust
clip_000753,anger
clip_000754,disgust
clip_000756,disgust
clip_000760,neutral
clip_000762,anger
clip_000763,fear
clip_000766,fear
clip_000768,neutral
clip_000770,fear
clip_000771,neutral
clip_000772,neutral
clip_000773,fear
clip_000774,fear
clip_000775,sad
clip_000776,sad
clip_000777,disgust
clip_000781,anger
clip_000782,disgust
clip_000783,disgust
clip_000785,happy
clip_000786,fear
clip_000787,sad
clip_000788,disgust
clip_000790,anger
clip_000791,neutral
clip_000792,disgust
clip_000793,anger
clip_000796,sad
clip_000797,neutral
clip_000800,disgust
clip_000801,neutral
clip_000802,anger
clip_000804,happy
clip_000805,anger
clip_000806,anger
clip_000807,anger
clip_000809,sad
clip_000810,neutral
clip_000811,anger
clip_000814,happy
clip_000815,disgust
clip_000816,happy
clip_000817,sad
clip_000820,disgust
clip_000823,disgust
clip_000824,neutral
clip_000825,disgust
clip_000826,disgust
clip_000828,neutral
clip_000829,sad
clip_000830,happy
clip_000831,happy
clip_000832,happy
clip_000833,anger
clip_000834,happy
clip_000837,fear
clip_000838,sad
clip_000839,sad
clip_000840,fear
clip_000841,happy
clip_000842,disgust
clip_000845,sad
clip_000846,neutral
clip_000848,sad
clip_000849,sad
clip_000851,happy
clip_000852,disgust
clip_000853,happy
clip_000854,happy
clip_000856,disgust
clip_000857,happy
clip_000858,disgust
clip_000860,neutral
clip_000861,happy
clip_000863,happy
clip_000864,happy
clip_000865,fear
clip_000867,sad
clip_000868,disgust
clip_000869,sad
clip_000870,fear
clip_000871,disgust
clip_000872,sad
clip_000873,sad
clip_000874,fear
clip_000876,sad
clip_000877,disgust
clip_000878,anger
clip_000879,fear
clip_000881,anger
clip_000882,fear
clip_000883,disgust
clip_000884,anger
clip_000885,anger
clip_000886,neutral
clip_000887,sad
clip_000888,happy
clip_000889,anger
clip_000890,fear
clip_000892,fear
clip_000894,anger
clip_000896,anger
clip_000897,happy
clip_000898,neutral
clip_000899,happy
clip_000900,fear
clip_000903,anger
clip_000904,disgust
clip_000905,fear
clip_000907,sad
clip_000908,anger
clip_000909,fear
clip_000910,sad
clip_000911,happy
clip_000914,sad
clip_000915,disgust
clip_000916,disgust
clip_000918,anger
clip_000919,fear
clip_000923,anger
clip_000926,anger
clip_000927,happy
clip_000929,sad
clip_000930,neutral
clip_000932,fear
clip_000933,fear
clip_000934,anger
clip_000935,neutral
clip_000937,anger
clip_000938,disgust
clip_000940,neutral
clip_000943,fear
clip_000944,happy
clip_000946,happy
clip_000947,disgust
clip_000948,happy
clip_000949,anger
clip_000950,neutral
clip_000952,happy
clip_000954,neutral
clip_000955,disgust
clip_000956,disgust
clip_000957,sad
clip_000958,sad
clip_000959,happy
clip_000960,disgust
clip_000961,fear
clip_000962,sad
clip_000963,disgust
clip_000966,fear
clip_000969,sad
clip_000970,happy
clip_000973,anger
clip_000976,disgust
clip_000978,sad
clip_000981,neutral
clip_000982,sad
clip_000983,fear
clip_000984,fear
clip_000985,disgust
clip_000986,fear
clip_000987,anger
clip_000988,neutral
clip_000990,happy
clip_000992,fear
clip_000993,fear
clip_000994,disgust
clip_000995,sad
clip_000996,fear
clip_000997,anger
clip_000998,fear
clip_001000,happy
clip_001002,happy
clip_001003,fear
clip_001004,anger
clip_001006,fear
clip_001007,disgust
clip_001009,neutral
clip_001010,sad
clip_001011,fear
clip_001012,fear
clip_001013,happy
clip_001014,neutral
clip_001015,disgust
clip_001016,fear
clip_001018,anger
clip_001020,disgust
clip_001021,anger
clip_001023,happy
clip_001024,neutral
clip_001025,anger
clip_001026,neutral
clip_001027,fear
clip_001029,fear
clip_001030,disgust
clip_001032,sad
clip_001034,neutral
clip_001035,neutral
clip_001036,fear
clip_001039,happy
clip_001041,neutral
clip_001043,happy
clip_001044,sad
clip_001045,disgust
clip_001046,neutral
clip_001047,happy
clip_001048,fear
clip_001049,disgust
clip_001052,happy
clip_001053,sad
clip_001054,anger
clip_001055,anger
clip_001056,happy
clip_001058,disgust
clip_001060,happy
clip_001061,happy
clip_001062,anger
clip_001063,disgust
clip_001064,happy
clip_001065,disgust
clip_001066,sad
clip_001067,anger
clip_001068,fear
clip_001069,sad
clip_001070,neutral
clip_001071,sad
clip_001072,anger
clip_001073,fear
clip_001076,disgust
clip_001077,neutral
clip_001078,fear
clip_001080,fear
clip_001082,happy
clip_001083,sad
clip_001084,neutral
clip_001085,disgust
clip_001088,disgust
clip_001089,sad
clip_001091,anger
clip_001093,sad
clip_001094,fear
clip_001095,anger
clip_001096,sad
clip_001097,anger
clip_001099,neutral
clip_001101,disgust
clip_001102,disgust
clip_001103,happy
clip_001104,disgust
clip_001105,disgust
clip_001107,disgust
clip_001108,neutral
clip_001109,anger
clip_001112,sad
clip_001114,anger
clip_001115,disgust
clip_001116,fear
clip_001117,sad
clip_001118,anger
clip_001119,sad
clip_001120,neutral
clip_001121,happy
clip_001122,happy
clip_001123,fear
clip_001124,anger
clip_001125,anger
clip_001126,fear
clip_001127,disgust
clip_001129,anger
clip_001130,neutral
clip_001131,happy
clip_001132,fear
clip_001133,anger
clip_001134,happy
clip_001135,happy
clip_001137,sad
clip_001138,happy
clip_001139,fear
clip_001140,fear
clip_001145,disgust
clip_001146,disgust
clip_001147,happy
clip_001148,disgust
clip_001150,sad
clip_001152,sad
clip_001154,disgust
clip_001155,neutral
clip_001156,fear
clip_001158,neutral
clip_001159,fear
clip_001160,disgust
clip_001162,disgust
clip_001163,sad
clip_001164,neutral
clip_001165,fear
clip_001166,happy
clip_001168,disgust
clip_001169,happy
clip_001171,fear
clip_001172,disgust
clip_001174,fear
clip_001177,happy
clip_001178,neutral
clip_001180,happy
clip_001181,happy
clip_001182,sad
clip_001183,disgust
clip_001184,anger
clip_001185,disgust
clip_001186,disgust
clip_001188,fear
clip_001189,neutral
clip_001190,fear
clip_001192,sad
clip_001193,anger
clip_001194,fear
clip_001195,neutral
clip_001198,sad
clip_001204,fear
clip_001205,anger
clip_001206,sad
clip_001207,neutral
clip_001208,disgust
clip_001209,neutral
clip_001210,happy
clip_001211,fear
clip_001213,disgust
clip_001214,sad
clip_001215,neutral
clip_001216,anger
clip_001218,sad
clip_001219,disgust
clip_001220,neutral
clip_001222,disgust
clip_001223,happy
clip_001224,neutral
clip_001225,neutral
clip_001226,neutral
clip_001228,neutral
clip_001229,disgust
clip_001231,sad
clip_001232,happy
clip_001233,disgust
clip_001234,happy
clip_001236,sad
clip_001237,neutral
clip_001238,anger
clip_001239,fear
clip_001240,neutral
clip_001244,happy
clip_001246,sad
clip_001247,neutral
clip_001248,happy
clip_001249,neutral
clip_001250,happy
clip_001251,happy
clip_001253,happy
clip_001254,happy
clip_001255,sad
clip_001257,neutral
clip_001258,sad
clip_001259,anger
clip_001262,happy
clip_001263,fear
clip_001264,anger
clip_001266,disgust
clip_001267,anger
clip_001269,neutral
clip_001271,sad
clip_001273,sad
clip_001274,sad
clip_001275,fear
clip_001277,fear
clip_001281,disgust
clip_001282,happy
clip_001283,anger
clip_001284,happy
clip_001286,fear
clip_001288,neutral
clip_001290,anger
clip_001291,neutral
clip_001292,happy
clip_001293,disgust
clip_001294,sad
clip_001295,disgust
clip_001296,fear
clip_001297,disgust
clip_001298,anger
clip_001299,happy
clip_001302,disgust
clip_001303,disgust
clip_001306,happy
clip_001307,disgust
clip_001308,disgust
clip_001309,fear
clip_001310,sad
clip_001311,fear
clip_001312,anger
clip_001313,happy
clip_001314,sad
clip_001315,happy
clip_001316,fear
clip_001317,fear
clip_001318,neutral
clip_001320,happy
clip_001321,disgust
clip_001323,disgust
clip_001324,disgust
clip_001325,sad
clip_001327,anger
clip_001328,disgust
clip_001330,sad
clip_001331,fear
clip_001332,fear
clip_001333,disgust
clip_001334,fear
clip_001335,happy
clip_001336,happy
clip_001337,anger
clip_001338,fear
clip_001342,happy
clip_001343,disgust
clip_001344,anger
clip_001345,happy
clip_001346,neutral
clip_001347,sad
clip_001348,anger
clip_001349,happy
clip_001350,sad
clip_001351,disgust
clip_001352,neutral
clip_001353,sad
clip_001354,disgust
clip_001357,anger
clip_001358,anger
clip_001360,neutral
clip_001361,disgust
clip_001362,happy
clip_001363,sad
clip_001365,neutral
clip_001366,sad
clip_001367,neutral
clip_001370,sad
clip_001371,sad
clip_001372,sad
clip_001373,fear
clip_001374,anger
clip_001375,happy
clip_001376,neutral
clip_001377,fear
clip_001378,anger
clip_001380,sad
clip_001381,happy
clip_001382,fear
clip_001383,fear
clip_001384,disgust
clip_001385,disgust
clip_001388,disgust
clip_001389,sad
clip_001390,disgust
clip_001391,disgust
clip_001392,fear
clip_001393,sad
clip_001394,fear
clip_001395,sad
clip_001396,disgust
clip_001397,anger
clip_001399,happy
clip_001400,neutral
clip_001401,disgust
clip_001403,fear
clip_001404,sad
clip_001405,sad
clip_001406,disgust
clip_001407,disgust
clip_001411,fear
clip_001412,anger
clip_001413,disgust
clip_001414,sad
clip_001416,happy
clip_001418,anger
clip_001420,sad
clip_001421,fear
clip_001422,sad
clip_001423,fear
clip_001424,happy
clip_001426,disgust
clip_001429,sad
clip_001430,neutral
clip_001431,anger
clip_001432,disgust
clip_001433,disgust
clip_001434,neutral
clip_001435,fear
clip_001436,fear
clip_001437,neutral
clip_001438,sad
clip_001440,sad
clip_001441,fear
clip_001443,anger
clip_001444,happy
clip_001445,sad
clip_001446,anger
clip_001447,anger
clip_001448,sad
clip_001449,fear
clip_001450,fear
clip_001451,happy
clip_001453,disgust
clip_001455,anger
clip_001456,disgust
clip_001457,neutral
clip_001458,sad
clip_001460,disgust
clip_001461,sad
clip_001462,disgust
clip_001463,neutral
clip_001464,neutral
clip_001465,sad
clip_001466,happy
clip_001467,sad
clip_001469,fear
clip_001470,anger
clip_001471,happy
clip_001472,anger
clip_001476,disgust
clip_001477,sad
clip_001479,neutral
clip_001480,neutral
clip_001482,fear
clip_001483,neutral
clip_001488,neutral
clip_001489,happy
clip_001490,sad
clip_001492,happy
clip_001493,fear
clip_001496,fear
clip_001497,disgust
clip_001498,fear
clip_001499,anger
clip_001500,disgust
clip_001502,anger
clip_001504,sad
clip_001505,fear
clip_001508,sad
clip_001510,anger
clip_001511,fear
clip_001512,disgust
clip_001513,disgust
clip_001514,neutral
clip_001515,disgust
clip_001516,neutral
clip_001518,sad
clip_001519,happy
clip_001520,disgust
clip_001521,fear
clip_001522,fear
clip_001523,happy
clip_001526,disgust
clip_001527,fear
clip_001528,sad
clip_001529,anger
clip_001530,neutral
clip_001532,neutral
clip_001533,neutral
clip_001534,sad
clip_001536,disgust
clip_001537,fear
clip_001538,happy
clip_001539,happy
clip_001540,neutral
clip_001541,disgust
clip_001542,happy
clip_001543,happy
clip_001544,anger
clip_001545,anger
clip_001546,sad
clip_001547,happy
clip_001548,fear
clip_001549,sad
clip_001551,neutral
clip_001552,disgust
clip_001553,sad
clip_001554,happy
clip_001556,fear
clip_001557,neutral
clip_001558,disgust
clip_001559,happy
clip_001560,sad
clip_001561,fear
clip_001563,sad
clip_001564,neutral
clip_001565,sad
clip_001566,sad
clip_001567,disgust
clip_001569,neutral
clip_001571,happy
clip_001572,neutral
clip_001573,disgust
clip_001574,fear
clip_001575,disgust
clip_001576,fear
clip_001577,sad
clip_001578,disgust
clip_001579,happy
clip_001580,fear
clip_001581,disgust
clip_001583,fear
clip_001584,happy
clip_001586,happy
clip_001587,anger
clip_001588,anger
clip_001590,neutral
clip_001591,happy
clip_001592,fear
clip_001593,happy
clip_001594,happy
clip_001595,fear
clip_001596,fear
clip_001599,sad
clip_001600,neutral
clip_001601,fear
clip_001602,neutral
clip_001603,sad
clip_001605,sad
clip_001606,sad
clip_001607,disgust
clip_001609,neutral
clip_001610,anger
clip_001613,happy
clip_001614,neutral
clip_001615,sad
clip_001616,fear
clip_001617,neutral
clip_001618,anger
clip_001619,sad
clip_001620,disgust
clip_001622,fear
clip_001623,fear
clip_001624,sad
clip_001625,anger
clip_001627,disgust
clip_001628,fear
clip_001629,anger
clip_001630,disgust
clip_001631,fear
clip_001633,fear
clip_001634,disgust
clip_001636,sad
clip_001638,anger
clip_001639,neutral
clip_001640,sad
clip_001641,fear
clip_001642,neutral
clip_001643,disgust
clip_001644,fear
clip_001645,neutral
clip_001646,happy
clip_001647,disgust
clip_001648,sad
clip_001649,disgust
clip_001650,disgust
clip_001651,sad
clip_001652,neutral
clip_001653,anger
clip_001654,sad
clip_001655,fear
clip_001656,fear
clip_001658,sad
clip_001659,sad
clip_001660,fear
clip_001661,disgust
clip_001662,sad
clip_001663,fear
clip_001664,sad
clip_001665,sad
clip_001666,happy
clip_001667,neutral
clip_001669,anger
clip_001670,neutral
clip_001671,happy
clip_001672,anger
clip_001673,neutral
clip_001675,neutral
clip_001678,anger
clip_001681,sad
clip_001682,anger
clip_001683,neutral
clip_001684,happy
clip_001685,anger
clip_001686,happy
clip_001687,neutral
clip_001688,happy
clip_001689,sad
clip_001690,sad
clip_001691,neutral
clip_001692,neutral
clip_001693,disgust
clip_001694,fear
clip_001695,sad
clip_001696,sad
clip_001699,anger
clip_001700,sad
clip_001701,disgust
clip_001702,anger
clip_001703,fear
clip_001704,happy
clip_001706,neutral
clip_001707,happy
clip_001708,neutral
clip_001709,happy
clip_001710,fear
clip_001711,fear
clip_001712,neutral
clip_001713,neutral
clip_001715,anger
clip_001717,sad
clip_001718,disgust
clip_001719,happy
clip_001720,anger
clip_001722,sad
clip_001723,fear
clip_001724,happy
clip_001725,disgust
clip_001726,disgust
clip_001727,disgust
clip_001728,happy
clip_001729,disgust
clip_001730,anger
clip_001731,neutral
clip_001732,fear
clip_001733,neutral
clip_001735,happy
clip_001736,disgust
clip_001737,disgust
clip_001738,sad
clip_001740,disgust
clip_001741,neutral
clip_001742,fear
clip_001743,sad
clip_001744,disgust
clip_001745,anger
clip_001746,anger
clip_001747,disgust
clip_001748,disgust
clip_001749,neutral
clip_001752,anger
clip_001753,neutral
clip_001754,fear
clip_001755,fear
clip_001756,disgust
clip_001757,happy
clip_001758,sad
clip_001759,sad
clip_001760,happy
clip_001762,fear
clip_001763,fear
clip_001764,neutral
clip_001765,happy
clip_001766,happy
clip_001768,sad
clip_001769,happy
clip_001770,anger
clip_001771,sad
clip_001772,neutral
clip_001773,sad
clip_001774,disgust
clip_001775,happy
clip_001776,fear
clip_001777,fear
clip_001778,fear
clip_001779,fear
clip_001780,happy
clip_001781,disgust
clip_001782,sad
clip_001783,happy
clip_001784,sad
clip_001785,sad
clip_001786,neutral
clip_001787,sad
clip_001789,sad
clip_001790,fear
clip_001791,happy
clip_001794,anger
clip_001795,disgust
clip_001796,neutral
clip_001797,sad
clip_001798,neutral
clip_001799,neutral
clip_001800,disgust
clip_001802,neutral
clip_001803,fear
clip_001804,sad
clip_001805,happy
clip_001806,happy
clip_001808,anger
clip_001809,happy
clip_001810,anger
clip_001812,disgust
clip_001813,sad
clip_001814,disgust
clip_001816,neutral
clip_001817,anger
clip_001818,neutral
clip_001819,sad
clip_001820,neutral
clip_001821,neutral
clip_001822,happy
clip_001823,sad
clip_001824,happy
clip_001825,disgust
clip_001826,fear
clip_001827,fear
clip_001828,disgust
clip_001830,happy
clip_001831,happy
clip_001832,disgust
clip_001833,anger
clip_001834,anger
clip_001835,disgust
clip_001836,anger
clip_001837,fear
clip_001838,neutral
clip_001839,sad
clip_001840,neutral
clip_001843,anger
clip_001845,neutral
clip_001846,neutral
clip_001848,happy
clip_001849,sad
clip_001850,neutral
clip_001851,neutral
clip_001852,neutral
clip_001853,neutral
clip_001855,disgust
clip_001856,fear
clip_001858,neutral
clip_001859,anger
clip_001860,anger
clip_001862,fear
clip_001863,neutral
clip_001864,happy
clip_001865,disgust
clip_001867,anger
clip_001868,neutral
clip_001869,sad
clip_001870,happy
clip_001871,happy
clip_001873,disgust
clip_001874,anger
clip_001875,happy
clip_001876,disgust
clip_001877,disgust
clip_001878,anger
clip_001879,fear
clip_001880,neutral
clip_001881,sad
clip_001882,fear
clip_001883,fear
clip_001884,neutral
clip_001885,fear
clip_001888,neutral
clip_001889,sad
clip_001890,fear
clip_001892,sad
clip_001894,sad
clip_001895,disgust
clip_001896,happy
clip_001897,neutral
clip_001898,neutral
clip_001900,neutral
clip_001901,anger
clip_001902,sad
clip_001905,disgust
clip_001906,disgust
clip_001907,sad
clip_001908,fear
clip_001909,neutral
clip_001910,anger
clip_001911,disgust
clip_001912,anger
clip_001913,happy
clip_001914,anger
clip_001915,anger
clip_001917,disgust
clip_001918,sad
clip_001919,disgust
clip_001920,sad
clip_001921,neutral
clip_001922,sad
clip_001925,fear
clip_001928,neutral
clip_001930,disgust
clip_001931,neutral
clip_001932,fear
clip_001933,anger
clip_001934,fear
clip_001937,happy
clip_001938,sad
clip_001939,anger
clip_001940,disgust
clip_001942,happy
clip_001943,disgust
clip_001944,fear
clip_001947,disgust
clip_001950,neutral
clip_001951,disgust
clip_001953,sad
clip_001957,disgust
clip_001958,disgust
clip_001959,anger
clip_001961,sad
clip_001962,anger
clip_001964,anger
clip_001965,happy
clip_001966,anger
clip_001968,sad
clip_001969,anger
clip_001970,happy
clip_001971,happy
clip_001972,disgust
clip_001974,neutral
clip_001975,anger
clip_001976,happy
clip_001977,neutral
clip_001981,anger
clip_001982,fear
clip_001983,fear
clip_001984,anger
