clip_id,predicted_emotion
clip_003783,anger
clip_003787,anger
clip_003790,disgust
clip_003796,happy
clip_003803,neutral
clip_003808,sad
clip_003809,neutral
clip_003810,neutral
clip_003814,anger
clip_003820,sad
clip_003830,fear
clip_003844,sad
clip_003846,anger
clip_003852,happy
clip_003859,sad
clip_003868,anger
clip_003869,disgust
clip_003876,disgust
clip_003881,disgust
clip_003884,neutral
clip_003897,neutral
clip_003923,disgust
clip_003952,neutral
clip_003960,fear
clip_003970,fear
clip_003975,fear
clip_003976,neutral
clip_003982,anger
clip_003991,sad
clip_004006,neutral
clip_004015,anger
clip_004023,neutral
clip_004046,disgust
clip_004054,anger
clip_004075,sad
clip_004099,anger
clip_004112,sad
clip_004114,happy
clip_004126,sad
clip_004131,disgust
clip_004137,fear
clip_004145,sad
clip_004161,happy
clip_004176,disgust
clip_004183,disgust
clip_004186,neutral
clip_004202,neutral
clip_004203,neutral
clip_004208,sad
clip_004212,neutral
clip_004243,anger
clip_004248,anger
clip_004250,disgust
clip_004252,anger
clip_004254,sad
clip_004269,neutral
clip_004271,sad
clip_004274,disgust
clip_004281,fear
clip_004287,sad
clip_004293,sad
clip_004296,happy
clip_004297,neutral
clip_004300,fear
clip_004302,disgust
clip_004314,neutral
clip_004317,neutral
clip_004318,neutral
clip_004326,anger
clip_004329,neutral
clip_004335,disgust
clip_004347,sad
clip_004348,anger
clip_004367,neutral
clip_004381,happy
clip_004385,sad
clip_004396,anger
clip_004397,disgust
clip_004402,fear
clip_004411,sad
clip_004424,disgust
clip_004429,fear
clip_004430,disgust
clip_004440,neutral
clip_004460,sad
clip_004463,neutral
clip_004468,fear
clip_004472,happy
clip_004473,disgust
clip_004481,neutral
clip_004484,neutral
clip_004489,sad
clip_004505,fear
clip_004521,neutral
clip_004524,fear
clip_004536,sad
clip_004541,neutral
clip_004552,neutral
clip_004570,neutral
clip_004572,sad
clip_004591,anger
clip_004598,disgust
clip_004604,happy
clip_004610,fear
clip_004618,happy
clip_004619,fear
clip_004628,fear
clip_004631,fear
clip_004632,anger
clip_004634,fear
clip_004640,disgust
clip_004643,neutral
clip_004645,sad
clip_004649,anger
clip_004653,disgust
clip_004667,sad
clip_004669,anger
clip_004674,neutral
clip_004677,sad
clip_004684,fear
clip_004692,anger
clip_004693,sad
clip_004696,sad
clip_004706,disgust
clip_004709,anger
clip_004719,sad
clip_004720,sad
clip_004741,sad
clip_004742,sad
clip_004746,sad
clip_004761,fear
clip_004771,neutral
clip_004787,disgust
clip_004814,happy
clip_004821,happy
clip_004834,neutral
clip_004835,sad
clip_004838,happy
clip_004840,happy
clip_004861,fear
clip_004881,sad
clip_004893,sad
clip_004894,disgust
clip_004903,sad
clip_004906,anger
clip_004909,anger
clip_004912,anger
clip_004916,neutral
clip_004921,disgust
clip_004923,disgust
clip_004941,disgust
clip_004946,sad
clip_004947,happy
clip_004957,disgust
clip_004964,fear
clip_004971,happy
clip_004973,sad
clip_004981,neutral
clip_004991,disgust
clip_004994,disgust
clip_005010,anger
clip_005011,disgust
clip_005023,fear
clip_005024,sad
clip_005038,happy
clip_005039,disgust
clip_005053,fear
clip_005058,neutral
clip_005066,fear
clip_005070,fear
clip_005073,anger
clip_005078,sad
clip_005086,sad
clip_005087,anger
clip_005115,disgust
clip_005121,happy
clip_005122,anger
clip_005123,anger
clip_005124,happy
clip_005136,fear
clip_005167,sad
clip_005172,anger
clip_005181,anger
clip_005187,happy
clip_005197,disgust
clip_005201,sad
clip_005218,disgust
clip_005235,disgust
clip_005237,disgust
clip_005243,anger
clip_005252,fear
clip_005259,sad
clip_005263,disgust
clip_005265,anger
clip_005298,anger
clip_005328,disgust
clip_005336,disgust
clip_005372,disgust
clip_005381,anger
clip_005385,disgust
clip_005387,neutral
clip_005388,happy
clip_005390,disgust
clip_005393,disgust
clip_005402,happy
clip_005408,neutral
clip_005417,happy
clip_005425,fear
clip_005431,happy
clip_005460,sad
clip_005492,happy
clip_005503,disgust
clip_005512,anger
clip_005516,disgust
clip_005529,sad
clip_005535,happy
clip_005536,fear
clip_005537,sad
clip_005538,sad
clip_005548,fear
clip_005557,disgust
clip_005563,disgust
clip_005569,sad
clip_005572,happy
clip_005578,anger
clip_005583,happy
clip_005591,neutral
clip_005604,neutral
clip_005607,neutral
clip_005610,sad
clip_005615,sad
clip_005624,neutral
clip_005626,fear
clip_005629,fear
clip_005632,happy
clip_005647,fear
clip_005659,happy
clip_005667,sad
clip_005677,neutral
clip_005689,sad
clip_005720,anger
clip_005735,disgust
clip_005743,happy
clip_005750,disgust
clip_005756,sad
clip_005762,disgust
clip_005788,happy
clip_005802,anger
clip_005818,anger
clip_005819,neutral
clip_005823,sad
clip_005830,anger
clip_005837,fear
clip_005849,sad
clip_005860,sad
clip_005866,disgust
clip_005900,disgust
clip_005925,neutral
clip_005927,fear
clip_005934,happy
clip_005936,neutral
clip_005953,fear
clip_005975,anger
clip_005981,neutral
clip_005987,happy
clip_005999,neutral
clip_006023,anger
clip_006034,sad
clip_006046,neutral
clip_006065,sad
clip_006075,neutral
clip_006080,sad
clip_006090,disgust
clip_006098,sad
clip_006139,happy
clip_006161,happy
clip_006163,sad
clip_006182,anger
clip_006183,neutral
clip_006185,neutral
clip_006188,neutral
clip_006199,fear
clip_006222,anger
clip_006224,fear
clip_006244,happy
clip_006252,fear
clip_006256,disgust
clip_006259,disgust
clip_006265,happy
clip_006277,sad
clip_006307,neutral
clip_006308,sad
clip_006309,disgust
clip_006318,disgust
clip_006322,happy
clip_006324,disgust
clip_006325,neutral
clip_006332,sad
clip_006335,disgust
clip_006345,sad
clip_006347,happy
clip_006355,neutral
clip_006430,neutral
clip_006431,anger
clip_006433,anger
clip_006439,sad
clip_006440,happy
clip_006456,sad
clip_006469,happy
clip_006482,neutral
clip_006492,disgust
clip_006512,fear
clip_006565,sad
clip_006584,sad
clip_006585,happy
clip_006587,disgust
clip_006606,neutral
clip_006611,happy
clip_006639,happy
clip_006643,anger
clip_006659,happy
clip_006660,happy
clip_006671,disgust
clip_006680,neutral
clip_006693,sad
clip_006709,fear
clip_006718,happy
clip_006723,disgust
clip_006731,anger
clip_006740,happy
clip_006743,sad
clip_006772,disgust
clip_006776,sad
clip_006783,happy
clip_006784,happy
clip_006792,happy
clip_006802,sad
clip_006807,neutral
clip_006809,sad
clip_006817,sad
clip_006820,neutral
clip_006829,anger
clip_006839,sad
clip_006848,anger
clip_006853,neutral
clip_006854,disgust
clip_006860,anger
clip_006864,neutral
clip_006874,neutral
clip_006882,sad
clip_006891,disgust
clip_006901,sad
clip_006924,neutral
clip_006925,anger
clip_006927,neutral
clip_006933,fear
clip_006935,sad
clip_006950,neutral
clip_006957,anger
clip_006964,neutral
clip_006965,sad
clip_006973,fear
clip_006977,fear
clip_006997,sad
clip_007012,anger
clip_007013,fear
clip_007015,fear
clip_007017,happy
clip_007018,disgust
clip_007022,disgust
clip_007032,sad
clip_007038,neutral
clip_007062,anger
clip_007081,disgust
clip_007101,fear
clip_007104,fear
clip_007105,disgust
clip_007108,fear
clip_007125,happy
clip_007126,fear
clip_007130,sad
clip_007135,happy
clip_007144,anger
clip_007145,sad
clip_007150,neutral
clip_007172,fear
clip_007199,sad
clip_007248,fear
clip_007253,anger
clip_007283,sad
clip_007292,sad
clip_007294,sad
clip_007295,happy
clip_007301,fear
clip_007308,sad
clip_007315,anger
clip_007321,neutral
clip_007326,fear
clip_007334,disgust
clip_007338,sad
clip_007345,happy
clip_007352,sad
clip_007364,happy
clip_007369,sad
clip_007381,neutral
clip_007383,anger
clip_007405,disgust
clip_007406,disgust
clip_007407,disgust
clip_007410,fear
clip_007415,neutral
clip_007416,neutral
clip_007418,sad
clip_007421,neutral
clip_007426,neutral
clip_007432,fear
clip_007441,neutral
